title,genre,description
3 Idiots,Comedy Drama,Two friends search for their missing college friend and remember their engineering college days.
Chhichhore,Comedy Drama,"College friends reunite and remember their youthful days, friendship, and struggles."
Wake Up Sid,Comedy Drama,A careless college student discovers his passion and learns to become independent.
Dil Chahta Hai,Comedy Drama,"Three close friends experience changes in friendship, love, and adulthood."
Zindagi Na Milegi Dobara,Comedy Drama,Three friends go on a road trip and learn important lessons about life and friendship.
Yeh Jawaani Hai Deewani,Romance Drama,A young man who loves travelling reconnects with an old friend during a wedding.
Taare Zameen Par,Drama Family,A creative child struggles at school until a teacher discovers his unique abilities.
Dangal,Sports Drama,A determined father trains his daughters to become successful wrestlers.
Bajrangi Bhaijaan,Drama Adventure,A kindhearted man helps a lost Pakistani girl return to her family.
PK,Comedy Drama,An innocent alien questions human customs while searching for a way to return home.
Munna Bhai M.B.B.S.,Comedy Drama,A lovable gangster becomes a medical student and learns the value of compassion.
Lage Raho Munna Bhai,Comedy Drama,A gangster follows the principles of Mahatma Gandhi to solve everyday problems.
Drishyam,Crime Thriller Drama,A family man uses careful planning to protect his family from a serious crime.
Drishyam 2,Crime Thriller Drama,A family continues to protect a secret while investigators reopen an old case.
Andhadhun,Crime Thriller Comedy,A pianist becomes involved in a mysterious crime after witnessing something unexpected.
Kahaani,Mystery Thriller Drama,A pregnant woman searches Kolkata for her missing husband and uncovers a dangerous mystery.
Queen,Comedy Drama,A young woman travels alone after her wedding is cancelled and discovers confidence and independence.
Barfi!,Romance Comedy Drama,A cheerful young man forms meaningful relationships while navigating love and life.
Rockstar,Music Drama,"A young musician experiences love, heartbreak, and fame on his journey to becoming a rock star."
Tamasha,Romance Drama,A man trapped in a routine life begins questioning his identity and follows his creative passion.
Swades,Drama,A successful engineer returns to India and becomes inspired to help a rural community.
Rang De Basanti,Drama History,A group of friends become inspired by India's freedom fighters and take a stand against injustice.
My Name Is Khan,Drama Romance,A man travels across America to meet the president and challenge prejudice after a personal tragedy.
Secret Superstar,Music Drama,A talented teenage girl secretly pursues her dream of becoming a singer.
English Vinglish,Comedy Drama,A homemaker gains confidence while learning English and discovering her independence.
The Shawshank Redemption,Drama,A wrongly imprisoned banker builds hope and friendship while serving a life sentence.
Forrest Gump,Drama Romance,A kindhearted man experiences major moments in American history while following his own path.
The Pursuit of Happyness,Drama Biography,A struggling salesman works tirelessly to build a better life for himself and his son.
Inception,Science Fiction Thriller,A skilled thief enters people's dreams to steal and plant ideas.
Interstellar,Science Fiction Drama,Explorers travel through space to find a new home for humanity.
The Dark Knight,Action Crime Drama,A determined hero faces a chaotic criminal mastermind threatening Gotham City.
The Prestige,Mystery Drama Thriller,Two rival magicians become obsessed with creating the ultimate illusion.
Fight Club,Drama Thriller,A dissatisfied office worker forms an underground club that changes his life.
The Matrix,Science Fiction Action,A computer programmer discovers that reality is controlled by a powerful artificial system.
Good Will Hunting,Drama Romance,A gifted young man receives guidance that helps him confront his past and discover his potential.
Dead Poets Society,Drama,An inspiring teacher encourages students to think independently and pursue their passions.
The Social Network,Drama Biography,"The rise of a social networking company creates ambition, conflict, and legal battles."
Whiplash,Drama Music,A young drummer pushes himself to the limit under an intense and demanding instructor.
La La Land,Romance Music Drama,An aspiring actress and jazz musician pursue their dreams while falling in love.
The Wolf of Wall Street,Comedy Crime Drama,A stockbroker rises to extreme wealth through aggressive and unethical financial schemes.
Avengers: Endgame,Action Science Fiction,The remaining heroes attempt to reverse a devastating event and save the universe.
Spider-Man: No Way Home,Action Science Fiction,Spider-Man faces dangerous consequences after a spell disrupts the boundaries between worlds.
Iron Man,Action Science Fiction,A wealthy inventor builds advanced armor and begins a journey as a superhero.
Guardians of the Galaxy,Action Science Fiction Comedy,A group of unlikely heroes joins together to protect the galaxy from a powerful threat.
Black Panther,Action Science Fiction,A new king must protect his technologically advanced nation from a dangerous rival.
Coco,Animation Family Music,A young boy enters the world of the dead and discovers the importance of family and music.
Toy Story,Animation Comedy Family,A group of toys comes to life and learns about friendship and loyalty.
Inside Out,Animation Comedy Family,A young girl's emotions guide her through a major change in her life.
The Lion King,Animation Drama Family,A young lion must find courage and accept his responsibility as king.
Harry Potter and the Sorcerer's Stone,Fantasy Adventure Family,A young boy discovers that he is a wizard and begins his magical education.
The Lord of the Rings: The Fellowship of the Ring,Fantasy Adventure Drama,A young hobbit begins a dangerous journey to destroy a powerful ring.
Gladiator,Action Drama History,A betrayed Roman general fights for survival and seeks revenge against a corrupt emperor.
Titanic,Romance Drama History,Two young people from different social backgrounds fall in love aboard a doomed ocean liner.
The Notebook,Romance Drama,A couple from different backgrounds struggles to keep their love alive through changing circumstances.
A Beautiful Mind,Biography Drama,A brilliant mathematician struggles with personal challenges while pursuing groundbreaking work.
Catch Me If You Can,Crime Drama Biography,A young con artist travels across the country while an FBI agent relentlessly follows him.
